size,time,packets
1000,10.01461935043335,165003.0
1100,9.82788896560669,163823.0
1200,8.94987440109253,161671.0
1300,7.969793081283569,153853.0
1400,6.950027704238892,142863.0
1500,6.5792553424835205,150004.0
1600,6.291503667831421,157503.0
1700,5.880797863006592,156475.0
1800,5.885106801986694,150673.0
1900,5.265644311904907,150901.0
2000,4.838428735733032,149003.0
2100,4.844485521316528,142863.0
2200,4.540852785110474,136368.0
2300,4.743107795715332,130442.0
2400,4.3041980266571045,125004.0
2500,4.174015283584595,120003.0
2600,3.8504419326782227,115389.0
2700,3.918867349624634,111117.0
2800,3.814758539199829,107148.0
2900,4.040544509887695,103454.0
3000,4.367769956588745,103341.0
3100,3.9658124446868896,109039.0
3200,3.709036111831665,110003.0
3300,3.466569662094116,111219.0
3400,3.6189045906066895,110651.0
3500,3.3473289012908936,108293.0
3600,3.344808340072632,106115.0
3700,3.2732126712799072,108115.0
3800,3.2393100261688232,105267.0
3900,3.3151819705963135,102571.0
4000,3.0328218936920166,100003.0
4100,3.206382989883423,97567.0
4200,2.987008571624756,95243.0
4300,3.4249801635742188,94029.0
4400,2.9597644805908203,93915.0
4500,3.1413631439208984,91120.0
4600,3.0607259273529053,94703.0
4700,3.052271842956543,96388.0
4800,2.899125576019287,98473.0
4900,2.8489365577697754,97248.0
5000,2.608410596847534,96003.0
5100,2.7684361934661865,96043.0
5200,2.8112571239471436,96160.0
5300,2.8226144313812256,94343.0
5400,2.4759254455566406,92598.0
5500,2.642366647720337,90913.0
5600,2.4684836864471436,89293.0
5700,2.458589792251587,87723.0
5800,2.3144989013671875,86213.0
5900,2.802309274673462,101703.0
6000,2.352020502090454,100005.0
6100,2.4113035202026367,98369.0
6200,2.677314519882202,96783.0
6300,2.255920648574829,95249.0
6400,2.1757140159606934,93753.0
6500,2.1590559482574463,92313.0
6600,2.238698720932007,90915.0
6700,2.193927764892578,89559.0
6800,2.159017562866211,88239.0
6900,2.1761157512664795,86961.0
7000,2.0891048908233643,85719.0
7100,2.222196102142334,84513.0
7200,2.3818325996398926,83339.0
7300,2.2307283878326416,82197.0
7400,2.1833388805389404,94601.0
7500,2.0722496509552,93341.0
7600,2.1214051246643066,92109.0
7700,2.1743690967559814,90919.0
7800,2.076244592666626,89750.0
7900,2.31199312210083,88616.0
8000,2.069547653198242,87503.0
8100,1.9697234630584717,86425.0
8200,2.0518219470977783,85375.0
8300,1.883995532989502,84346.0
8400,2.07915997505188,83340.0
8500,1.8953850269317627,82358.0
8600,1.9917843341827393,81401.0
8700,1.8676881790161133,80468.0
8800,1.9581165313720703,79551.0
8900,1.9461603164672852,89891.0
9000,2.2740964889526367,88899.0
9100,2.1415481567382812,87923.0
9200,1.803955316543579,86963.0
9300,1.8367373943328857,86027.0
9400,2.283860445022583,85115.0
9500,1.8387184143066406,84219.0
9600,1.7638554573059082,83341.0
9700,1.7626926898956299,82483.0
9800,1.7320663928985596,81643.0
9900,1.8794903755187988,80819.0
