size,time,packets
1000000,0.012925148010253906,749.0
11000000,0.10770940780639648,7806.0
21000000,0.1384258270263672,14774.0
31000000,0.20690536499023438,21668.0
41000000,0.26822423934936523,29916.0
51000000,0.32906174659729004,35903.0
61000000,0.37526726722717285,42770.0
71000000,0.4268226623535156,50010.0
81000000,0.4899594783782959,57136.0
91000000,0.5678677558898926,63927.0
101000000,0.6263089179992676,71107.0
111000000,0.6389527320861816,78228.0
121000000,0.7157824039459229,85176.0
131000000,0.7759690284729004,92402.0
141000000,0.894458532333374,99481.0
151000000,0.9618511199951172,105634.0
161000000,0.9681057929992676,113134.0
171000000,1.114192008972168,120564.0
181000000,1.1203584671020508,127014.0
191000000,1.2551798820495605,133802.0
201000000,1.2541203498840332,141108.0
211000000,1.3035376071929932,148564.0
221000000,1.4221465587615967,154993.0
231000000,1.4365546703338623,163261.0
241000000,1.5559942722320557,169576.0
251000000,1.5421621799468994,176566.0
261000000,1.6198213577270508,183952.0
271000000,1.7107717990875244,196936.0
281000000,1.953346300125122,203180.0
291000000,2.085627365112305,210904.0
301000000,2.0931170654296875,211675.0
311000000,2.0987746715545654,218338.0
321000000,2.047635078430176,226789.0
331000000,2.0175106525421143,233233.0
341000000,2.0915169715881348,240602.0
351000000,2.225702714920044,247493.0
361000000,2.313911724090576,254533.0
371000000,2.373220729827881,261294.0
381000000,2.4163054943084717,271138.0
391000000,2.3938140869140625,275234.0
401000000,2.5429606437683105,281973.0
411000000,2.7813923358917236,289514.0
421000000,2.811079978942871,296904.0
431000000,3.0211029529571533,302767.0
441000000,3.076614189147949,314660.0
451000000,3.113600969314575,317794.0
461000000,3.2500296115875244,327780.0
471000000,3.302173376083374,334633.0
481000000,3.5662875175476074,339119.0
491000000,3.554258346557617,346122.0
500000000,3.6852895259857178,352462.0
550000000,3.8777337074279785,387672.0
600000000,4.389037847518921,422759.0
650000000,4.813054323196411,458168.0
700000000,5.232190132141113,493278.0
750000000,5.631075859069824,528493.0
800000000,6.010698556900024,563933.0
850000000,6.461881160736084,602623.0
900000000,6.500872373580933,639300.0
950000000,6.986135244369507,669454.0
1000000000,7.561316967010498,704764.0
