size,time,packets
100,6.175570249557495,99646.0
110,5.677832841873169,98704.0
120,5.294483423233032,96229.0
130,4.84012770652771,94543.0
140,4.6031084060668945,97084.0
150,4.530990123748779,96537.0
160,4.27743935585022,94252.0
170,4.043586254119873,94610.0
180,3.8304150104522705,95593.0
190,3.5278310775756836,87476.0
200,3.513307809829712,90118.0
210,3.532440423965454,92967.0
220,3.2188527584075928,86508.0
230,3.2298073768615723,90474.0
240,2.9385409355163574,86686.0
250,3.0748939514160156,87787.0
260,2.88443660736084,88299.0
270,2.768538236618042,85324.0
280,2.641494035720825,86074.0
290,2.683330535888672,86259.0
300,2.8220434188842773,91172.0
310,2.7155332565307617,85544.0
320,2.5792460441589355,85797.0
330,2.6964826583862305,90709.0
340,2.460763931274414,83988.0
350,2.541440010070801,89570.0
360,2.492480516433716,86920.0
370,2.4221842288970947,83559.0
380,2.4944002628326416,88574.0
390,2.4523112773895264,87849.0
400,2.175931215286255,81811.0
410,2.233275890350342,88409.0
420,2.178811550140381,86072.0
430,2.1433613300323486,90519.0
440,2.062028646469116,80193.0
450,2.2393667697906494,87775.0
460,2.104969024658203,87445.0
470,2.050037384033203,83331.0
480,1.9912803173065186,81376.0
490,2.398308038711548,81654.0
500,2.087883949279785,87036.0
550,1.8993051052093506,82507.0
600,1.897320032119751,88027.0
650,1.7473328113555908,86032.0
700,1.502971887588501,85717.0
750,1.646578073501587,85267.0
800,1.5655875205993652,84306.0
850,1.4815006256103516,83955.0
900,1.4613025188446045,82794.0
950,1.404271125793457,79607.0
1000,1.3316545486450195,77685.0
1100,1.3167650699615479,81556.0
1200,1.2404394149780273,79180.0
1300,1.292384386062622,83028.0
1400,1.1439614295959473,78176.0
1500,1.1754381656646729,79242.0
1700,1.1106836795806885,79874.0
1900,1.0777630805969238,76883.0
2100,1.0542519092559814,75765.0
2300,1.0406692028045654,77415.0
2500,0.9685800075531006,75805.0
2700,0.9161148071289062,74106.0
2900,0.9704453945159912,77426.0
3100,0.8906259536743164,73229.0
3300,0.8654775619506836,74325.0
3500,0.7640371322631836,74491.0
3700,0.7907595634460449,74131.0
3900,0.7328405380249023,73850.0
4100,0.7369401454925537,73009.0
4300,0.7498703002929688,74049.0
4500,0.733715295791626,73126.0
4700,0.7324199676513672,72948.0
4900,0.7451331615447998,73138.0
5100,0.7372298240661621,73694.0
5300,0.7302694320678711,73212.0
5500,0.7192621231079102,73207.0
5700,0.7521011829376221,72298.0
5900,0.7329063415527344,72327.0
6100,0.7126405239105225,72293.0
6300,0.747103214263916,72296.0
6500,0.6746478080749512,72415.0
6700,0.7134077548980713,72233.0
6900,0.7322747707366943,72252.0
7100,0.6760437488555908,72175.0
7300,0.6688241958618164,73195.0
7500,0.7290725708007812,72118.0
7700,0.8309245109558105,75534.0
7900,0.7423756122589111,71015.0
8100,0.7403099536895752,70998.0
8300,0.7211422920227051,72367.0
8500,0.6503112316131592,72383.0
8700,0.5961754322052002,71959.0
8900,0.6978585720062256,72295.0
9100,0.6880605220794678,71870.0
9300,0.6814124584197998,72098.0
9500,0.7230978012084961,72296.0
9700,0.7029407024383545,72041.0
9900,0.7205276489257812,71007.0
