size,time,packets
1000000,0.011726856231689453,723.0
6000000,0.05117511749267578,4233.0
11000000,0.08805298805236816,7743.0
16000000,0.12501907348632812,11253.0
21000000,0.18753623962402344,14808.0
26000000,0.19908785820007324,18318.0
31000000,0.26055383682250977,21832.0
36000000,0.27840709686279297,25338.0
41000000,0.3222920894622803,28848.0
46000000,0.33039259910583496,32358.0
51000000,0.3867192268371582,35868.0
56000000,0.39350128173828125,39378.0
61000000,0.4377439022064209,42933.0
66000000,0.534844160079956,46443.0
71000000,0.6116986274719238,49953.0
76000000,0.6000196933746338,53463.0
81000000,0.6417367458343506,56973.0
86000000,0.6618106365203857,60483.0
91000000,0.6941745281219482,63993.0
96000000,0.7179343700408936,67503.0
101000000,0.8162841796875,71060.0
106000000,1.0575652122497559,74570.0
111000000,0.9262690544128418,78078.0
116000000,0.9402358531951904,81588.0
121000000,0.9859035015106201,85098.0
126000000,0.954779863357544,88608.0
131000000,0.962615966796875,92120.0
136000000,1.0540649890899658,95628.0
141000000,1.0937318801879883,99183.0
146000000,1.176403284072876,102695.0
151000000,1.1257429122924805,106203.0
156000000,1.1884946823120117,109713.0
161000000,1.3711366653442383,113225.0
166000000,1.3439421653747559,116733.0
171000000,1.3651008605957031,120243.0
176000000,1.4115269184112549,123755.0
181000000,1.417628526687622,127308.0
186000000,1.438723087310791,130820.0
191000000,1.5362193584442139,134330.0
196000000,1.570427417755127,137838.0
201000000,1.6498088836669922,141348.0
206000000,1.7945287227630615,144860.0
211000000,1.7011561393737793,148370.0
216000000,1.7368836402893066,151878.0
221000000,1.823307752609253,155435.0
226000000,1.7585351467132568,158943.0
231000000,1.8367154598236084,162457.0
236000000,1.8307538032531738,165963.0
241000000,2.1379544734954834,169475.0
246000000,2.0011990070343018,172983.0
251000000,2.020535945892334,176497.0
275000000,2.2238211631774902,183368.0
300000000,2.4420580863952637,210967.0
325000000,2.6816580295562744,228558.0
350000000,2.859975814819336,246110.0
375000000,3.1090407371520996,263705.0
400000000,3.1371967792510986,281255.0
425000000,3.4398293495178223,298850.0
450000000,3.5456466674804688,316445.0
475000000,3.91760516166687,333995.0
500000000,4.385552883148193,351590.0
502500000,4.1981201171875,353344.0
527500000,4.235520124435425,370942.0
552500000,4.5720436573028564,388488.0
577500000,4.679140567779541,406087.0
602500000,4.815799236297607,423678.0
627500000,5.252298593521118,441232.0
652500000,5.587986469268799,458823.0
677500000,5.732472896575928,480377.0
702500000,5.689615964889526,493969.0
727500000,5.911830425262451,511567.0
752500000,6.080498218536377,529113.0
800000000,6.639163494110107,562503.0
850000000,7.30544638633728,597697.0
900000000,7.5978007316589355,632838.0
950000000,7.672683954238892,667987.0
1000000000,7.927505970001221,703128.0
