delay,time,packets
0,0.16081833839416504,7068.0
1,1.2944731712341309,7121.0
2,0.46335625648498535,7068.0
3,1.3024535179138184,7119.0
4,1.5367906093597412,7161.0
5,0.9680299758911133,7068.0
6,1.3502752780914307,7163.0
7,1.4206006526947021,7390.0
8,1.557715654373169,7129.0
9,1.5932538509368896,7068.0
10,1.9388082027435303,7632.0
11,2.062208414077759,7672.0
12,2.2402775287628174,8146.0
13,2.308793067932129,8597.0
14,2.491729497909546,9637.0
15,2.640787363052368,9535.0
16,3.546813488006592,10100.0
17,3.729877233505249,12058.0
18,3.424299955368042,13344.0
19,4.031264305114746,11108.0
20,3.8192899227142334,11719.0
21,3.810750961303711,11716.0
22,4.028611660003662,12859.0
23,4.065755605697632,11002.0
24,4.366611003875732,11384.0
25,4.348073720932007,12639.0
26,4.573094367980957,12993.0
27,4.747487783432007,13061.0
28,4.987515687942505,11666.0
29,4.834146738052368,13498.0
30,5.090466737747192,14419.0
31,5.265939474105835,15379.0
32,5.8088133335113525,15452.0
33,5.390274524688721,15403.0
34,6.229891300201416,15901.0
35,5.994516372680664,15490.0
36,6.292768955230713,14572.0
37,6.534593820571899,15087.0
38,6.692360162734985,15562.0
39,6.824194431304932,17049.0
40,6.539543867111206,15884.0
