size,time
500,0.17742156982421875
1000,0.11233949661254883
1500,0.3372929096221924
2000,0.5326015949249268
2500,1.392817735671997
3000,1.2946367263793945
3500,0.06671714782714844
4000,3.362802028656006
4500,0.32918572425842285
5000,0.31618285179138184
5500,0.10561370849609375
6000,0.11284661293029785
6500,1.3320751190185547
7000,0.3179047107696533
7500,0.10455942153930664
8000,1.1246397495269775
8500,0.8055083751678467
9000,0.29318785667419434
9500,0.1646890640258789
10000,0.3587667942047119
10500,0.7214329242706299
11000,0.17593765258789062
11500,0.34323859214782715
12000,0.09262299537658691
12500,0.0941476821899414
13000,0.5572319030761719
13500,0.388211727142334
14000,0.23661446571350098
14500,0.1529242992401123
15000,0.15210938453674316
15500,0.6625661849975586
16000,0.0798795223236084
16500,0.08588886260986328
17000,0.49353814125061035
17500,7.986158609390259
18000,1.0943093299865723
18500,0.1466846466064453
19000,0.5071132183074951
19500,0.5916345119476318
20000,1.5241641998291016
20500,0.09657549858093262
21000,0.1720287799835205
21500,1.1876115798950195
22000,0.2830679416656494
22500,1.1842403411865234
23000,0.9881136417388916
23500,1.107820749282837
24000,2.356205463409424
24500,0.15108036994934082
25000,0.0667428970336914
25500,0.07164287567138672
26000,1.3610403537750244
26500,0.07517099380493164
27000,0.07518291473388672
27500,0.5015959739685059
28000,0.128037691116333
28500,0.1946864128112793
29000,0.17932820320129395
29500,0.1757349967956543
30000,0.33508944511413574
30500,0.17284107208251953
31000,0.07231259346008301
31500,0.1632671356201172
32000,0.5694060325622559
32500,0.06791353225708008
33000,0.13307976722717285
33500,0.06363821029663086
34000,0.06746864318847656
34500,0.07489871978759766
35000,1.6975162029266357
35500,0.16618585586547852
36000,2.324737787246704
36500,0.5003969669342041
37000,0.3070070743560791
37500,1.6700465679168701
38000,0.37534618377685547
38500,0.34456729888916016
39000,0.377286434173584
39500,0.5673878192901611
40000,0.2948489189147949
40500,1.6516451835632324
41000,0.10477280616760254
41500,0.4180939197540283
42000,0.10571455955505371
42500,0.5764460563659668
43000,0.3519401550292969
43500,3.8446052074432373
44000,0.14815545082092285
44500,6.036832094192505
45000,0.546738862991333
45500,0.40427565574645996
46000,0.36083030700683594
46500,2.94744873046875
47000,1.5550503730773926
47500,0.31180763244628906
48000,0.47060680389404297
48500,0.5959680080413818
49000,0.3515777587890625
49500,0.6633548736572266
50000,0.29136228561401367
50500,0.7506551742553711
51000,0.35353541374206543
51500,2.294111967086792
52000,0.29439806938171387
52500,1.2463505268096924
53000,0.4052693843841553
53500,0.20850658416748047
54000,0.22126150131225586
54500,0.30568814277648926
55000,0.13102412223815918
55500,0.35250210762023926
56000,1.0578548908233643
56500,1.0817608833312988
57000,0.39716005325317383
57500,12.864218473434448
58000,0.07469582557678223
58500,0.12956929206848145
59000,0.9739561080932617
59500,0.36649274826049805
60000,0.289837121963501
60500,1.6362035274505615
61000,1.300140380859375
61500,1.6868233680725098
62000,0.14429330825805664
62500,0.39136719703674316
63000,7.037249326705933
63500,0.29120612144470215
